,B,A
2023-10-01,1189,1176
2023-10-02,1189,1176
2023-10-03,1189,1176
2023-10-04,1189,1176
2023-10-05,1189,1176
2023-10-06,1189,1176
2023-10-07,1189,1176
2023-10-08,1189,1176
2023-10-09,1189,1176
2023-10-10,1189,1176
2023-10-11,1189,1176
2023-10-12,1189,1176
2023-10-13,1189,1176
2023-10-14,1189,1176
2023-10-15,1189,1176
2023-10-16,1114,1176
2023-10-17,1039,1176
2023-10-18,1039,1176
2023-10-19,1039,1176
2023-10-20,1039,1176
2023-10-21,1039,1176
2023-10-22,1039,1176
2023-10-23,1039,1071
2023-10-24,1039,966
2023-10-25,927,854
2023-10-26,758,646
2023-10-27,382,31
2023-10-28,382,31
2023-10-29,382,31
2023-10-30,32,31
2023-10-31,32,31
2023-11-01,112,72
2023-11-02,29,184
2023-11-03,56,62
2023-11-04,56,62
2023-11-05,56,62
2023-11-06,56,90
2023-11-07,334,298
2023-11-08,530,298
2023-11-09,245,298
2023-11-10,497,467
2023-11-11,497,662
2023-11-12,497,662
2023-11-13,567,662
2023-11-14,385,674
2023-11-15,305,594
2023-11-16,305,594
2023-11-17,305,594
2023-11-18,305,594
2023-11-19,305,594
2023-11-20,385,569
2023-11-21,517,268
2023-11-22,606,389
2023-11-23,483,389
2023-11-24,738,194
2023-11-25,738,194
2023-11-26,738,194
2023-11-27,400,299
2023-11-28,400,425
2023-11-29,400,756
2023-11-30,280,609
2023-12-01,644,609
2023-12-02,899,609
2023-12-03,899,609
2023-12-04,644,497
2023-12-05,814,440
2023-12-06,533,271
2023-12-07,533,271
2023-12-08,533,271
2023-12-09,533,271
2023-12-10,533,271
2023-12-11,548,503
2023-12-12,683,380
2023-12-13,543,380
2023-12-14,543,546
2023-12-15,543,546
2023-12-16,543,546
2023-12-17,543,546
2023-12-18,542,546
2023-12-19,346,546
2023-12-20,322,326
2023-12-21,175,581
2023-12-22,199,605
2023-12-23,199,605
2023-12-24,199,605
2023-12-25,199,605
2023-12-26,346,605
2023-12-27,466,725
2023-12-28,466,980
2023-12-29,239,980
2023-12-30,239,980
2023-12-31,239,980
2024-01-01,134,725
2024-01-02,134,666
2024-01-03,134,666
2024-01-04,14,546
2024-01-05,859,546
2024-01-06,859,546
2024-01-07,859,546
2024-01-08,964,593
2024-01-09,964,593
2024-01-10,814,593
2024-01-11,562,593
2024-01-12,265,593
2024-01-13,265,593
2024-01-14,265,593
2024-01-15,265,679
2024-01-16,385,630
2024-01-17,385,466
2024-01-18,300,466
2024-01-19,494,312
2024-01-20,494,312
2024-01-21,494,312
2024-01-22,374,565
2024-01-23,582,415
2024-01-24,582,415
2024-01-25,667,415
2024-01-26,550,592
2024-01-27,550,592
2024-01-28,550,592
2024-01-29,805,677
2024-01-30,805,677
2024-01-31,665,677
2024-02-01,665,677
2024-02-02,665,677
2024-02-03,665,677
2024-02-04,665,677
2024-02-05,665,677
2024-02-06,677,641
2024-02-07,479,568
2024-02-08,596,604
2024-02-09,596,492
2024-02-10,596,492
2024-02-11,596,492
2024-02-12,528,296
2024-02-13,528,236
2024-02-14,215,236
2024-02-15,215,236
2024-02-16,226,530
2024-02-17,226,530
2024-02-18,226,530
2024-02-19,226,470
2024-02-20,226,666
2024-02-21,226,666
2024-02-22,422,666
2024-02-23,355,526
2024-02-24,355,526
2024-02-25,727,526
2024-02-26,727,526
2024-02-27,727,526
2024-02-28,727,526
2024-02-29,727,526
2024-03-01,727,526
2024-03-02,685,521
2024-03-03,685,524
2024-03-04,685,480
2024-03-05,685,480
2024-03-06,685,480
2024-03-07,358,480
2024-03-08,358,480
2024-03-09,358,480
2024-03-10,358,480
2024-03-11,358,672
2024-03-12,358,672
2024-03-13,358,672
2024-03-14,550,672
2024-03-15,709,521
2024-03-16,499,521
2024-03-17,499,371
2024-03-18,499,371
2024-03-19,499,566
2024-03-20,499,566
2024-03-21,499,566
2024-03-22,499,564
2024-03-23,499,564
2024-03-24,499,756
2024-03-25,499,756
2024-03-26,499,756
2024-03-27,499,756
2024-03-28,499,756
2024-03-29,499,966
2024-03-30,904,966
2024-03-31,1189,966
2024-04-01,1189,966
2024-04-02,1189,966
2024-04-03,1189,1176
2024-04-04,1189,1176
2024-04-05,1189,1176
2024-04-06,1189,1176
2024-04-07,1189,1176
2024-04-08,1189,1176
2024-04-09,1189,1176
2024-04-10,1189,1176
2024-04-11,1189,1176
2024-04-12,1189,1176
2024-04-13,1189,1176
2024-04-14,1189,1176
2024-04-15,1189,1176
2024-04-16,1189,1176
2024-04-17,1189,1176
2024-04-18,1189,1176
2024-04-19,1189,1176
2024-04-20,1189,1176
2024-04-21,1189,1176
2024-04-22,1189,1176
2024-04-23,1189,1176
2024-04-24,1189,1176
2024-04-25,1189,1176
2024-04-26,1189,1176
2024-04-27,1189,1176
2024-04-28,1189,1176
2024-04-29,1189,1176
2024-04-30,1189,1176
