,블록명,중량,표준공기,납기,사이즈,최대길이,면적,최소착수요구일,날짜순서,공기순서,크기순서,우선순위
2,S15,139,10,2023-11-13,"(15, 14)",15,210,2023-11-03,4.0,42.0,40.0,5.5
11,S24,56,12,2023-11-21,"(18, 14)",18,252,2023-11-09,9.5,22.0,29.0,5.6
20,S33,33,13,2023-11-27,"(19, 15)",19,285,2023-11-14,14.5,12.5,6.0,5.9
6,S19,21,12,2023-11-15,"(14, 7)",14,98,2023-11-03,4.0,22.0,102.5,6.2
3,S16,24,11,2023-11-14,"(14, 5)",14,70,2023-11-03,4.0,33.0,112.5,7.3
12,S25,98,11,2023-11-21,"(19, 13)",19,247,2023-11-10,12.0,33.0,36.0,7.4
8,S21,82,8,2023-11-17,"(17, 15)",17,255,2023-11-09,9.5,69.0,15.5,8.3
4,S17,68,8,2023-11-14,"(15, 13)",15,195,2023-11-06,6.5,69.0,58.0,8.7
19,S32,84,10,2023-11-27,"(17, 15)",17,255,2023-11-17,17.0,42.0,15.5,9.0
5,S18,21,9,2023-11-15,"(14, 7)",14,98,2023-11-06,6.5,52.0,102.5,9.0
1,S14,67,7,2023-11-09,"(13, 13)",13,169,2023-11-02,1.5,93.5,71.0,9.1
0,S13,131,6,2023-11-08,"(15, 14)",15,210,2023-11-02,1.5,109.5,40.0,9.1
7,S20,76,8,2023-11-15,"(14, 13)",14,182,2023-11-07,8.0,69.0,67.0,9.5
9,S22,41,11,2023-11-21,"(17, 5)",17,85,2023-11-10,12.0,33.0,107.5,9.8
10,S23,20,11,2023-11-21,"(17, 5)",17,85,2023-11-10,12.0,33.0,107.5,9.8
13,S26,42,9,2023-11-23,"(12, 11)",12,132,2023-11-14,14.5,52.0,82.5,11.0
23,S36,79,9,2023-12-01,"(17, 15)",17,255,2023-11-22,21.5,52.0,15.5,11.1
14,S27,106,8,2023-11-23,"(19, 13)",19,247,2023-11-15,16.0,69.0,36.0,11.1
22,S35,67,7,2023-11-29,"(17, 15)",17,255,2023-11-22,21.5,93.5,15.5,13.9
32,S45,93,11,2023-12-12,"(15, 13)",15,195,2023-12-01,30.0,33.0,58.0,14.1
36,S49,56,12,2023-12-19,"(18, 14)",18,252,2023-12-07,35.5,22.0,29.0,14.3
28,S41,101,9,2023-12-08,"(14, 14)",14,196,2023-11-29,29.0,52.0,51.5,14.8
21,S34,39,7,2023-11-27,"(12, 11)",12,132,2023-11-20,18.0,93.5,82.5,15.0
26,S39,85,8,2023-12-06,"(14, 14)",14,196,2023-11-28,27.0,69.0,51.5,15.3
33,S46,38,12,2023-12-18,"(15, 8)",15,120,2023-12-06,34.0,22.0,87.5,15.7
27,S40,53,9,2023-12-07,"(15, 7)",15,105,2023-11-28,27.0,52.0,98.5,15.8
34,S47,38,11,2023-12-18,"(15, 8)",15,120,2023-12-07,35.5,33.0,87.5,17.0
39,S52,56,9,2023-12-20,"(18, 14)",18,252,2023-12-11,38.5,52.0,29.0,17.3
25,S38,53,7,2023-12-04,"(15, 7)",15,105,2023-11-27,25.0,93.5,98.5,17.8
38,S51,67,8,2023-12-19,"(17, 15)",17,255,2023-12-11,38.5,69.0,15.5,18.0
37,S50,79,8,2023-12-19,"(17, 15)",17,255,2023-12-11,38.5,69.0,15.5,18.0
44,S57,67,12,2023-12-25,"(13, 13)",13,169,2023-12-13,42.5,22.0,71.0,18.0
54,S67,56,15,2024-01-05,"(18, 14)",18,252,2023-12-21,51.0,6.0,29.0,18.4
49,S62,56,13,2024-01-02,"(18, 14)",18,252,2023-12-20,50.0,12.5,29.0,18.5
17,S30,10,5,2023-11-27,"(14, 4)",14,56,2023-11-22,21.5,113.5,115.5,18.6
15,S28,10,5,2023-11-27,"(14, 4)",14,56,2023-11-22,21.5,113.5,115.5,18.6
16,S29,9,5,2023-11-27,"(6, 4)",6,24,2023-11-22,21.5,113.5,119.5,18.7
18,S31,9,5,2023-11-27,"(6, 4)",6,24,2023-11-22,21.5,113.5,119.5,18.7
30,S43,41,8,2023-12-12,"(17, 5)",17,85,2023-12-04,32.0,69.0,107.5,18.8
31,S44,20,8,2023-12-12,"(17, 5)",17,85,2023-12-04,32.0,69.0,107.5,18.8
24,S37,37,6,2023-12-04,"(14, 9)",14,126,2023-11-28,27.0,109.5,84.0,19.1
51,S64,38,15,2024-01-03,"(15, 8)",15,120,2023-12-19,48.0,6.0,87.5,19.3
50,S63,38,15,2024-01-03,"(15, 8)",15,120,2023-12-19,48.0,6.0,87.5,19.3
29,S42,57,4,2023-12-08,"(14, 12)",14,168,2023-12-04,32.0,117.5,75.0,21.0
45,S58,84,8,2023-12-27,"(17, 15)",17,255,2023-12-19,48.0,69.0,15.5,21.1
42,S55,66,8,2023-12-21,"(13, 13)",13,169,2023-12-13,42.5,69.0,71.0,21.1
46,S59,53,10,2023-12-28,"(15, 7)",15,105,2023-12-18,45.5,42.0,98.5,21.2
57,S70,85,13,2024-01-09,"(14, 14)",14,196,2023-12-27,57.0,12.5,51.5,21.6
43,S56,82,7,2023-12-25,"(17, 15)",17,255,2023-12-18,45.5,93.5,15.5,21.9
35,S48,63,7,2023-12-18,"(14, 8)",14,112,2023-12-11,38.5,93.5,94.0,22.2
55,S68,101,10,2024-01-05,"(14, 14)",14,196,2023-12-26,54.5,42.0,51.5,22.7
52,S65,41,11,2024-01-05,"(17, 5)",17,85,2023-12-25,52.5,33.0,107.5,23.3
53,S66,20,11,2024-01-05,"(17, 5)",17,85,2023-12-25,52.5,33.0,107.5,23.3
56,S69,53,10,2024-01-05,"(15, 7)",15,105,2023-12-26,54.5,42.0,98.5,24.2
41,S54,10,7,2023-12-20,"(14, 4)",14,56,2023-12-13,42.5,93.5,115.5,24.2
40,S53,10,7,2023-12-20,"(14, 4)",14,56,2023-12-13,42.5,93.5,115.5,24.2
68,S81,38,12,2024-01-23,"(15, 8)",15,120,2024-01-11,66.5,22.0,87.5,26.6
69,S82,38,12,2024-01-23,"(15, 8)",15,120,2024-01-11,66.5,22.0,87.5,26.6
58,S71,82,7,2024-01-12,"(17, 15)",17,255,2024-01-05,60.0,93.5,15.5,26.8
73,S86,56,11,2024-01-29,"(18, 14)",18,252,2024-01-18,73.0,33.0,29.0,27.5
62,S75,67,7,2024-01-15,"(17, 15)",17,255,2024-01-08,63.0,93.5,15.5,27.8
61,S74,79,7,2024-01-15,"(17, 15)",17,255,2024-01-08,63.0,93.5,15.5,27.8
70,S83,31,9,2024-01-24,"(16, 13)",16,208,2024-01-15,69.0,52.0,45.0,28.0
60,S73,66,7,2024-01-12,"(13, 13)",13,169,2024-01-05,60.0,93.5,71.0,28.6
59,S72,67,7,2024-01-12,"(13, 13)",13,169,2024-01-05,60.0,93.5,71.0,28.6
77,S90,81,9,2024-01-31,"(31, 12)",31,372,2024-01-22,76.0,52.0,3.5,28.9
81,S94,23,19,2024-02-13,"(15, 10)",15,150,2024-01-25,80.0,1.5,78.5,29.4
64,S77,84,6,2024-01-16,"(17, 15)",17,255,2024-01-10,65.0,109.5,15.5,29.5
84,S97,59,19,2024-02-14,"(14, 11)",14,154,2024-01-26,82.0,1.5,76.0,30.0
63,S76,52,7,2024-01-15,"(15, 7)",15,105,2024-01-08,63.0,93.5,98.5,30.5
67,S80,56,7,2024-01-23,"(18, 14)",18,252,2024-01-16,70.5,93.5,29.0,30.7
47,S60,9,2,2023-12-29,"(6, 4)",6,24,2023-12-27,57.0,121.5,119.5,31.1
92,S105,32,18,2024-02-20,"(15, 13)",15,195,2024-02-02,87.0,3.0,58.0,31.1
48,S61,9,2,2023-12-29,"(6, 4)",6,24,2023-12-27,57.0,121.5,119.5,31.1
71,S84,53,8,2024-01-25,"(15, 10)",15,150,2024-01-17,72.0,69.0,78.5,31.2
83,S96,28,15,2024-02-13,"(13, 9)",13,117,2024-01-29,83.5,6.0,91.5,31.3
86,S99,23,15,2024-02-14,"(15, 10)",15,150,2024-01-30,85.0,6.0,78.5,31.4
74,S87,84,7,2024-01-29,"(17, 15)",17,255,2024-01-22,76.0,93.5,15.5,32.1
65,S78,52,7,2024-01-19,"(15, 7)",15,105,2024-01-12,68.0,93.5,98.5,32.2
85,S98,32,12,2024-02-14,"(15, 13)",15,195,2024-02-02,87.0,22.0,58.0,32.4
66,S79,31,4,2024-01-20,"(16, 13)",16,208,2024-01-16,70.5,117.5,45.0,32.8
90,S103,27,13,2024-02-15,"(13, 9)",13,117,2024-02-02,87.0,12.5,91.5,32.9
89,S102,79,10,2024-02-15,"(17, 15)",17,255,2024-02-05,89.5,42.0,15.5,33.2
72,S85,53,7,2024-01-26,"(15, 10)",15,150,2024-01-19,74.0,93.5,78.5,33.5
76,S89,67,7,2024-01-29,"(13, 13)",13,169,2024-01-22,76.0,93.5,71.0,33.9
91,S104,74,12,2024-02-19,"(14, 10)",14,140,2024-02-07,91.0,22.0,81.0,34.5
82,S95,67,8,2024-02-13,"(17, 15)",17,255,2024-02-05,89.5,69.0,15.5,34.9
99,S112,87,11,2024-02-26,"(31, 12)",31,372,2024-02-15,98.5,33.0,3.5,35.2
75,S88,66,6,2024-01-29,"(13, 13)",13,169,2024-01-23,78.0,109.5,71.0,35.7
80,S93,82,4,2024-02-02,"(17, 15)",17,255,2024-01-29,83.5,117.5,15.5,36.2
98,S111,36,11,2024-02-26,"(16, 13)",16,208,2024-02-15,98.5,33.0,45.0,36.5
79,S92,20,7,2024-02-01,"(17, 5)",17,85,2024-01-25,80.0,93.5,107.5,36.5
78,S91,41,7,2024-02-01,"(17, 5)",17,85,2024-01-25,80.0,93.5,107.5,36.5
95,S108,55,9,2024-02-23,"(18, 11)",18,198,2024-02-14,96.0,52.0,48.0,37.1
96,S109,59,9,2024-02-23,"(14, 8)",14,112,2024-02-14,96.0,52.0,94.0,38.6
94,S107,24,9,2024-02-23,"(14, 5)",14,70,2024-02-14,96.0,52.0,112.5,39.2
93,S106,53,7,2024-02-20,"(17, 11)",17,187,2024-02-13,93.0,93.5,66.0,39.4
106,S119,33,10,2024-03-04,"(16, 13)",16,208,2024-02-23,105.5,42.0,45.0,39.5
114,S127,56,13,2024-03-13,"(18, 14)",18,252,2024-02-29,113.0,12.5,29.0,39.5
113,S126,56,13,2024-03-13,"(18, 14)",18,252,2024-02-29,113.0,12.5,29.0,39.5
122,S135,56,13,2024-03-13,"(18, 14)",18,252,2024-02-29,113.0,12.5,29.0,39.5
121,S134,56,13,2024-03-13,"(18, 14)",18,252,2024-02-29,113.0,12.5,29.0,39.5
100,S113,24,8,2024-02-27,"(14, 14)",14,196,2024-02-19,101.0,69.0,51.5,40.0
103,S116,106,8,2024-02-29,"(19, 13)",19,247,2024-02-21,103.0,69.0,36.0,40.1
102,S115,129,8,2024-02-29,"(15, 14)",15,210,2024-02-21,103.0,69.0,40.0,40.3
111,S124,131,12,2024-03-12,"(15, 14)",15,210,2024-02-29,113.0,22.0,40.0,40.5
101,S114,24,8,2024-02-29,"(14, 14)",14,196,2024-02-21,103.0,69.0,51.5,40.6
107,S120,91,9,2024-03-06,"(15, 13)",15,195,2024-02-26,107.5,52.0,58.0,41.2
119,S132,131,12,2024-03-13,"(15, 14)",15,210,2024-03-01,116.0,22.0,40.0,41.5
115,S128,91,9,2024-03-08,"(15, 13)",15,195,2024-02-28,109.5,52.0,58.0,41.9
97,S110,59,7,2024-02-23,"(14, 8)",14,112,2024-02-16,100.0,93.5,94.0,42.7
105,S118,32,7,2024-03-01,"(16, 13)",16,208,2024-02-23,105.5,93.5,45.0,42.9
108,S121,74,8,2024-03-07,"(16, 12)",16,192,2024-02-28,109.5,69.0,63.5,43.2
88,S101,2,2,2024-02-15,"(6, 3)",6,18,2024-02-13,93.0,121.5,122.5,43.2
87,S100,2,2,2024-02-15,"(6, 3)",6,18,2024-02-13,93.0,121.5,122.5,43.2
112,S125,33,8,2024-03-12,"(19, 15)",19,285,2024-03-04,118.0,69.0,6.0,44.1
120,S133,33,8,2024-03-18,"(19, 15)",19,285,2024-03-10,121.0,69.0,6.0,45.1
109,S122,83,7,2024-03-11,"(27, 15)",27,405,2024-03-04,118.0,93.5,1.5,45.6
104,S117,68,4,2024-03-01,"(15, 13)",15,195,2024-02-26,107.5,117.5,58.0,45.6
117,S130,83,7,2024-03-15,"(27, 15)",27,405,2024-03-08,120.0,93.5,1.5,46.3
116,S129,74,8,2024-03-19,"(16, 12)",16,192,2024-03-11,122.5,69.0,63.5,47.6
110,S123,74,7,2024-03-11,"(16, 12)",16,192,2024-03-04,118.0,93.5,63.5,47.7
118,S131,74,7,2024-03-18,"(16, 12)",16,192,2024-03-11,122.5,93.5,63.5,49.2
